ID;Make;Model;Transmission;Gears;Horsepower;Torque;Fuel Type;Driveline;Year;
83;Volvo;XC70 T6 AWD;AUTOMATIC;6;281;297.95;GASOLINE;FOUR;2010.01.25
84;Volvo;XC70 3.2;AUTOMATIC;6;235;238.36;GASOLINE;FOUR;2010.04.14
85;Toyota;4Runner SR5;AUTOMATIC;5;270;280.78;GASOLINE;REAR;2011.12.09
86;Toyota;4Runner SR5 4WD;AUTOMATIC;5;270;280.78;GASOLINE;FOUR;2011.04.05
87;Toyota;4Runner Trail;AUTOMATIC;5;270;280.78;GASOLINE;FOUR;2011.03.14
88;Toyota;4Runner Limited;AUTOMATIC;5;270;280.78;GASOLINE;REAR;2011.11.01
89;Toyota;4Runner  Limited 4WD;AUTOMATIC;5;270;280.78;GASOLINE;FOUR;2011.03.15
90;Volvo;XC90 3.2;AUTOMATIC;6;240;238.36;GASOLINE;FRONT;2011.07.10
91;Volvo;XC90 V8;AUTOMATIC;6;311;328.25;GASOLINE;FOUR;2011.11.20
92;Volvo;XC90 3.2;AUTOMATIC;6;235;238.36;GASOLINE;FRONT;2010.12.16
93;Volvo;XC90 V8;AUTOMATIC;6;311;328.25;GASOLINE;FOUR;2010.07.06
94;Volvo;V70 3.2;AUTOMATIC;6;235;238.36;GASOLINE;FRONT;2010.07.03
95;Toyota;4Runner SR5;AUTOMATIC;4;157;179.78;GASOLINE;REAR;2010.04.19
96;Toyota;4Runner SR5 V6;AUTOMATIC;5;270;280.78;GASOLINE;REAR;2010.08.19
97;Toyota;4Runner SR5 V6 4WD;AUTOMATIC;5;270;280.78;GASOLINE;FOUR;2010.10.25
98;Toyota;4Runner Trail;AUTOMATIC;5;270;280.78;GASOLINE;FOUR;2010.04.23
99;Toyota;4Runner Limited;AUTOMATIC;5;270;280.78;GASOLINE;REAR;2010.02.13
100;Toyota;4Runner Limited 4WD;AUTOMATIC;5;270;280.78;GASOLINE;FOUR;2010.09.04
101;Audi;A3 2.0 T;MANUAL;6;200;209.07;GASOLINE;FRONT;2012.05.12
102;Honda;Accord EX-L V-6 Coup;MANUAL;6;271;253.51;GASOLINE;FRONT;2010.08.19
